# North Icelandic Shelf Arctica islandica Shell Measurement 1350 Year Record
#-----------------------------------------------------------------------
#              World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                       NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
#  Online_Resource: http://www.hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:
# 
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/butler2013/butler2013-chron.txt
#
# Archive: Paleoceanography
#
#--------------------------------
# Contribution_Date
# Date: 2013-06-25
#--------------------------------
# Title:   North Icelandic Shelf Arctica islandica Shell Measurement 1350 Year Record
#--------------------------------
# Investigators: Butler, P.G.; Wanamaker, A.D.; Scourse, J.D.; Richardson, C.A.; Reynolds, D.J.
#--------------------
# Description and Notes: 
# (a) Raw measurements of increment widths from shells of the bivalve Arctica islandica; (b)absolute dates of birth and death derived by crossdating; (c)chronologies derived from a mean value function of the detrended increment widths, and supplementary data associated with the chronologies and presented in the paper.
#  Keyword: Sclerochronology
#--------------------
# Publication 
#   Authors:  Butler, P.G., A.D. Wanamaker Jr., J.D. Scourse, C.A. Richardson and D.J. Reynolds
#   Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#   Published_Title: Variability of marine climate on the North Icelandic Shelf in a 1357-year proxy archive based on growth increments in the bivalve Arctica islandica
#   Published_Date_or_Year: 2013
#   Volume: 373
#   Pages: 141-151
#   DOI: 10.1016/j.palaeo.2012.01.016
# Abstract: A multicentennial and absolutely-dated shell-based chronology for the marine environment of the North Icelandic Shelf has been constructed using annual growth increments in the shell of the long-lived bivalve clam Arctica islandica. The region from which the shells were collected is close to the North Atlantic Polar Front and is highly sensitive to the varying influences of Atlantic and Arctic water masses. A strong common environmental signal is apparent in the increment widths, and although the correlations between the growth increment indices and regional sea surface temperatures are significant at the 95% confidence level, they are low (r~0.2), indicating that a more complex combination of environmental forcings is driving growth. Remarkable longevities of individual animals are apparent in the increment-width series used in the chronology, with several animals having lifetimes in excess of 300 years and one, at 507 years, being the longest-lived non-colonial animal so far reported whose age at death can be accurately determined. The sample depth is at least three shells after AD 1175, and the time series has been extended back to AD 649 with a sample depth of one or two by the addition of two further series, thus providing a 1357-year archive of dated shell material. The statistical and spectral characteristics of the chronology are investigated by using two different methods of removing the age-related trend in shell growth. Comparison with other proxy archives from the same region reveals several similarities in variability on multidecadal timescales, particularly during the period surrounding the transition from the Medieval Climate Anomaly to the Little Ice Age.
#--------------------------------
# Funding_Agency: 
#    Funding_Agency_Name:
#    Grant:
#--------------------------------
# Site Information: 
# Site_Name: Grimsey
# Location: North Atlantic Ocean
#	Northernmost_Latitude:  66.5265
# 	Southernmost_Latitude:   66.5265
# 	Easternmost_Longitude: -18.19567
# 	Westernmost_Longitude: -18.19567
# 	Elevation: 81-83 m
#--------------------------------
# Data Collection 
# Collection_Name: NIS-A.islandica chronologies Butler13
# Oldest_Year: 649
# Most_Recent_Year: 2005
# Time_Unit: AD
# Core_Length 
# Notes: The NE and RCS detrended chronologies used in Butler et al 2013. Autoregressively modelled versions of the chronology produced by ARSTAN (see Butler et al 2013, section 3.3). Only the NE detrended chronology is used in Wanamaker et al 2012. Data from figures 3d, 3e and 3f in paper. 
#--------------------------------
# Variables    
# 
# Data variables follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
## age_AD age,,,AD,,,,,N
## NE.ars	detrended growth index,Arctica islandica,,unitless,,,negative exponential function,autoregressively modelled version from ARSTAN,N
## RCS.ars	detrended growth index,Arctica islandica,,unitless,,,regional curve standardization,autoregressively modelled version from ARSTAN,N
#----------------------
# Data:
age_AD	NE.ars	RCS.ars
649	2.477	2.919
650	2.145	2.566
651	1.695	1.915
652	0.971	1.078
653	0.107	0.399
654	-0.038	-0.409
655	0.43	0.666
656	0.373	0.766
657	-0.038	-0.114
658	0.074	0.389
659	0.897	1.845
660	0.886	1.972
661	1.135	2.328
662	0.866	1.984
663	1.135	2.428
664	1.094	2.353
665	1.136	2.436
666	1.336	2.629
667	1.671	3.05
668	1.369	2.667
669	1.812	3.174
670	1.999	3.363
671	1.278	2.407
672	1.166	2.121
673	1.302	2.279
674	1.278	2.27
675	0.309	1.016
676	0.697	1.406
677	-0.038	0.059
678	0.574	1.311
679	1.048	1.889
680	0.17	0.561
681	1.014	1.835
682	0.619	1.293
683	0.692	1.534
684	0.08	0.088
685	0.802	1.572
686	0.745	1.445
687	1.173	2.128
688	1.275	2.19
689	1.419	2.483
690	1.616	2.699
691	0.854	1.53
692	0.819	1.415
693	1.455	2.274
694	0.558	0.819
695	0.774	1.129
696	1.002	1.43
697	0.744	1.174
698	1.273	1.875
699	1.01	1.531
700	0.301	0.419
701	0.652	0.923
702	1.242	1.892
703	1.518	2.306
704	1.396	2.109
705	0.963	1.375
706	1.102	1.626
707	1.44	2.113
708	1.631	2.372
709	1.093	1.474
710	1.476	2.048
711	0.288	0.796
712	0.242	-0.024
713	0.332	0.006
714	0.744	1.025
715	0.793	1.044
716	1.69	2.333
717	0.581	0.693
718	0.93	1.319
719	1.698	2.313
720	1.265	1.87
721	1.446	1.98
722	1.474	1.974
723	0.573	0.908
724	1.18	1.614
725	0.153	0.164
726	0.689	0.982
727	0.977	1.3
728	0.928	1.368
729	1.092	1.507
730	1.305	1.855
731	0.576	0.562
732	1.166	1.564
733	1.435	1.922
734	1.068	1.425
735	1.423	1.831
736	1.171	1.452
737	1.427	1.883
738	1.314	1.618
739	1.112	1.303
740	0.965	0.919
741	1.016	1.038
742	0.961	0.912
743	0.624	0.061
744	0.694	0.241
745	1.1	1.099
746	1.044	1.074
747	0.574	-0.127
748	0.894	0.716
749	0.578	-0.001
750	1.005	1.015
751	0.593	-0.033
752	0.752	0.544
753	1.032	1.018
754	0.296	-0.409
755	0.392	-0.409
756	0.146	-0.409
757	0.553	0.073
758	1.036	1.008
759	1.32	1.584
760	0.652	0.219
761	0.514	-0.289
762	0.376	-0.409
763	0.719	0.431
764	0.042	-0.409
765	1.045	0.924
766	1.063	0.991
767	1.14	1.307
768	2.012	2.437
769	0.896	0.966
770	1.276	1.517
771	1.158	1.174
772	0.776	0.522
773	1.147	1.058
774	1.616	1.849
775	1.102	1.033
776	0.715	-0.166
777	0.815	0.186
778	1.371	1.384
779	0.824	0.284
780	1.07	0.806
781	1.415	1.411
782	0.755	0.13
783	0.474	-0.409
784	0.934	0.393
785	0.886	0.443
786	0.901	0.468
787	1.208	1.053
788	1.002	0.799
789	1.12	1.059
790	0.711	0.029
791	1.095	1.003
792	0.699	0.013
793	1.253	1.273
794	0.47	-0.409
795	1.288	1.329
796	0.955	0.621
797	1.522	1.761
798	1.365	1.391
799	0.606	0.294
800	1.734	2.005
801	0.955	0.694
802	0.965	0.762
803	1.361	1.273
804	1.225	1.239
805	0.729	-0.259
806	0.872	0.248
807	1.068	0.752
808	1.185	1.041
809	1.267	1.151
810	0.958	0.563
811	1.132	0.964
812	1.522	1.63
813	1.489	1.639
814	1.447	1.539
815	1.216	1.095
816	1.308	1.295
817	1.257	1.178
818	1.233	1.135
819	0.993	0.573
820	1.671	1.783
821	1.338	1.269
822	1.287	1.214
823	1.419	1.346
824	1.488	1.573
825	1.312	1.229
826	1.444	1.441
827	1.381	1.332
828	0.887	0.147
829	1.007	0.457
830	0.831	-0.041
831	1.221	0.948
832	0.803	-0.175
833	1.241	1.01
834	1.322	1.149
835	1.542	1.646
836	1.255	1.092
837	1.328	1.29
838	1.256	1.129
839	1.248	1.165
840	1.418	1.405
841	0.875	0.183
842	1.079	0.71
