# North Icelandic Shelf Annually Resolved d18O Data Over the Last Millennium
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/20448
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/reynolds2016/reynolds2016.txt
#
# Archive: Paleoceanography
#
# Parameter_Keywords: oxygen isotopes
#---------------------------------------
# Contribution_Date
#    Date: 2016-08-30
#---------------------------------------
# Title
#    Study_Name: North Icelandic Shelf Annually Resolved d18O Data Over the Last Millennium
#---------------------------------------
# Investigators
#      Investigators: Reynolds, D.J.; Scourse, J.D.; Halloran, P.R.; Nederbragt, A.; Wanamaker, A.D.; Butler, P.G.; Richardson, C.A.; Heinemeier, J.; Eiriksson, J.; Knudsen, K.L.; Hall, I.R.
#---------------------------------------
# Description and Notes
#        Description: Precision of d18O measurements: 0.08 per mil. 
#         Provided Keywords: Arctica islandica, annually-resolved, absolutely-dated, North Atlantic, Iceland,
#---------------------------------------
# Publication
# Authors: Reynolds, D.J., J.D. Scourse, P.R. Halloran, A. Nederbragt, A.D. Wanamaker, P.G. Butler, C.A. Richardson, J. Heinemeier, J. Eiriksson, K.L. Knudsen, and I.R. Hall
# Published_Date_or_Year: 2016
# Published_Title: Annually Resolved North Atlantic Marine Climate Over The Last Millennium
# Journal_Name: Nature Communications
# Volume: 
# Edition: 
# Issue: 
# Pages: 
# Report Number: 
# DOI: 10.1038/NCOMMS13502
# Online_Resource: 
# Full_Citation: 
# Abstract: Due to the lack of absolutely-dated oceanographic information prior to the modern instrumental period, there is currently significant debate as to the role played by North Atlantic Ocean dynamics in previous climate transitions (e.g., Medieval Climate Anomaly-Little Ice Age, MCA-LIA). Here we present analyses of a millennial-length, annually-resolved and absolutely-dated marine ?18O archive. Our record of oxygen isotope ratios in the shell of the long-lived marine bivalve Arctica islandica (?18O-shell), from the North Icelandic Shelf, linked to seawater density variability, demonstrate that solar and volcanic forcing coupled with ocean circulation dynamics are key drivers of climate variability over the last millennium. During the pre-industrial period (AD 1000-1800) variability in the sub-polar North Atlantic leads changes in Northern Hemisphere surface air temperatures at multi-decadal timescales indicating that North Atlantic Ocean dynamics played an active role in modulating the response of the atmosphere to solar and volcanic forcing.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Natural Environment Research Council
#    Grant: The Ultra Project - Grant No. 017008
#---------------------------------------
# Site Information
# Site_Name: Grimsey
# Location: North Atlantic > Greenland Sea > North Icelandic Shelf
# Country: Iceland
# Northernmost_Latitude: 66.5265
# Southernmost_Latitude: 66.5265
# Easternmost_Longitude: -18.195667
# Westernmost_Longitude: -18.195667
# Elevation: -80
#---------------------------------------
# Data_Collection
#   Collection_Name: Grimsey Reynolds16
#   First_Year: 953
#   Last_Year: 2000
#   Time_Unit: AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD	age,,,years AD,,,,,N
## d18Oa.island	delta 18O,Arctica islandica,,per mil VPDB,Mar-Oct,paleoceanography,,,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NaN
age_AD	d18Oa.island	
2000	3.45
1999	3.28
1998	3.09
1997	2.87
1996	3.07
1995	2.80
1994	3.24
1993	3.05
1992	2.79
1991	2.99
1990	3.64
1989	3.15
1988	3.11
1987	3.16
1986	3.11
1985	2.85
1984	2.97
1983	3.24
1982	3.12
1981	2.91
1980	3.16
1979	2.78
1978	3.60
1977	3.32
1976	3.67
1975	3.42
1974	3.41
1973	3.34
1972	3.50
1971	3.29
1970	3.25
1969	3.26
1968	3.36
1967	3.40
1966	3.06
1965	3.26
1964	3.13
1963	3.26
1962	3.37
1961	3.39
1960	3.23
1959	3.14
1958	3.13
1957	3.07
1956	3.20
1955	3.27
1954	3.15
1953	3.17
1952	2.99
1951	3.31
1950	3.22
1949	3.37
1948	3.37
1947	3.30
1946	3.55
1945	3.55
1944	3.23
1943	3.36
1942	3.47
1941	3.35
1940	3.41
1939	3.42
1938	3.53
1937	3.40
1936	3.59
1935	3.37
1934	3.67
1933	3.61
1932	3.35
1931	3.47
1930	3.45
1929	3.56
1928	3.43
1927	3.51
1926	3.41
1925	3.14
1924	3.63
1923	3.54
1922	3.49
1921	3.42
1920	3.82
1919	3.47
1918	3.29
1917	3.37
1916	3.70
1915	2.98
1914	3.44
1913	3.30
1912	3.82
1911	3.95
1910	3.71
1909	4.00
1908	3.95
1907	3.67
1906	3.67
1905	3.68
1904	3.59
1903	3.33
1902	3.53
1901	3.39
1900	3.11
1899	3.57
1898	3.07
1897	3.47
1896	3.73
1895	3.34
1894	3.86
1893	3.83
1892	3.88
1891	3.90
1890	3.77
1889	3.78
1888	3.73
1887	3.77
1886	3.85
1885	3.78
1884	3.83
1883	3.79
1882	3.74
1881	3.87
1880	3.90
1879	3.98
1878	3.89
1877	3.86
1876	3.69
1875	3.75
1874	3.78
1873	3.69
1872	3.74
1871	3.32
1870	3.39
1869	3.51
1868	3.78
1867	3.49
1866	3.49
1865	3.62
1864	3.73
1863	3.82
1862	2.98
1861	3.84
1860	3.68
1859	3.71
1858	3.83
1857	3.78
1856	3.72
1855	3.83
1854	3.47
1853	3.99
1852	3.83
1851	3.79
1850	3.91
1849	3.79
1848	3.80
1847	3.93
1846	3.75
1845	3.71
1844	3.53
1843	3.66
1842	3.70
1841	3.55
1840	3.74
1839	3.65
1838	3.46
1837	3.68
1836	3.65
1835	3.85
1834	4.16
1833	3.73
1832	3.92
1831	3.99
1830	3.68
1829	3.64
1828	3.61
1827	3.76
1826	3.29
1825	3.62
1824	3.26
1823	3.27
1822	3.10
1821	3.70
1820	3.84
1819	3.61
1818	3.71
1817	3.77
1816	3.78
1815	3.62
1814	3.97
1813	3.95
1812	3.82
1811	3.73
1810	3.61
1809	3.43
1808	3.90
1807	3.76
1806	3.97
1805	4.12
1804	3.76
1803	3.28
1802	3.99
1801	3.39
1800	3.92
1799	4.12
1798	4.12
1797	4.21
1796	4.05
1795	4.07
1794	3.96
1793	4.13
1792	3.69
1791	4.17
1790	4.13
1789	4.01
1788	3.83
1787	4.00
1786	3.72
1785	3.67
1784	3.43
1783	3.88
1782	3.56
1781	3.52
1780	3.46
1779	3.66
1778	3.66
1777	3.41
1776	3.47
1775	3.59
1774	3.54
1773	3.80
1772	3.65
1771	3.33
1770	3.39
1769	3.44
1768	3.25
1767	3.42
1766	3.71
1765	3.32
1764	3.14
1763	3.27
1762	3.36
1761	3.64
1760	3.50
1759	3.47
1758	3.55
1757	3.76
1756	3.57
1755	3.40
1754	3.47
1753	3.36
1752	3.45
1751	3.28
1750	3.55
1749	3.40
1748	3.50
1747	3.43
1746	3.52
1745	3.32
1744	3.56
1743	3.42
1742	3.38
1741	3.38
1740	3.46
1739	3.44
