#DATA DESCRIPTION:
#Citation:	Alonso-Garcia, Montserrat; Kleiven, Helga F; McManus, Jerry F; Moffa-Sanchez, Paola; Broecker, Wallace S; Flower, Benjamin P (2017): IRD record of sediment core GS06-144-03. PANGAEA, https://doi.org/10.1594/PANGAEA.874284, 
#	In supplement to: Alonso-Garcia, M et al. (2017): Freshening of the Labrador Sea as a trigger for Little Ice Age development. Climate of the Past, 13(4), 317-331, https://doi.org/10.5194/cp-13-317-2017
#Coverage:	LATITUDE: 57.290000 * LONGITUDE: -48.370000
#	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 0.345 m
#Event(s):	GS06-144-03 * LATITUDE: 57.290000 * LONGITUDE: -48.370000 * ELEVATION: -3432.0 m * LOCATION: Labrador Sea * METHOD/DEVICE: Gravity corer (GC)
#Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com) * COMMENT: mcd
#	Age [a AD] (Age) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	AGE [ka BP] (Age) * GEOCODE * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Grains, hematite-stained [%] (HSG) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Volcanic glass, white [%] (Volc glass white) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Volcanic glass [%] (Volc glass) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com) * COMMENT: total
#	Coal clasts or fragments [%] (Coal clasts) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Ice rafted debris [#/g] (IRD) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Grains, hematite-stained [#/g] (HSG) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Volcanic glass [#/g] (Volc glass) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Volcanic glass, white [#/g] (Volc glass white) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
#Size:	612 data points
#
Depth[m]	Age_AD	Age_BP	HSG[%]	Volc_glass_white[%]	Volc_glass[%]	Coal_clasts[%]	IRD	HSG	Volc_glass	Volc_glass_white
0.000	2006.00	-0.0560	11.95	10.20	44.02	0.00	9137.149	1092.196	4022.477	932.362
0.005	1980.20	-0.0302	28.21	8.33	23.72	0.64	15964.821	4502.898	3786.528	1330.402
0.010	1954.40	-0.0044	16.60	10.35	42.70	0.00	15257.716	2532.132	6514.287	1579.877
0.015	1928.60	0.0214	20.83	14.29	36.90	0.00	14248.136	2968.362	5258.241	2035.448
0.020	1902.80	0.0472	19.81	11.49	36.58	0.00	16314.382	3232.275	5967.277	1874.337
0.025	1877.00	0.0730	18.67	11.62	38.59	0.41	41365.069	7723.768	15962.454	4805.900
0.030	1851.20	0.0988	30.89	8.49	28.96	1.54	20807.783	6427.114	6025.420	1767.456
0.035	1825.40	0.1246	21.05	15.31	30.62	1.91	35663.389	7508.082	10920.847	5460.423
0.040	1799.60	0.1504	18.73	10.76	37.05	1.20	41245.928	7723.341	15282.356	4436.813
0.045	1773.80	0.1762	14.47	17.37	45.26	0.79	68165.017	9865.989	30853.639	11839.187
0.050	1748.00	0.2020	16.44	14.67	52.89	0.89	38830.370	6385.439	20536.951	5695.121
0.055	1722.20	0.2278	17.95	15.38	38.89	1.28	39668.239	7119.940	15426.538	6102.806
0.060	1696.40	0.2536	18.39	20.11	37.93	1.72	27458.160	5049.777	10415.164	5523.193
0.065	1670.60	0.2794	13.67	17.97	48.24	0.59	94017.394	12853.941	45356.048	16893.751
0.070	1644.80	0.3052	14.05	23.20	59.15	0.65	46161.461	6486.741	27304.655	10710.666
0.075	1619.00	0.3310	16.88	11.04	35.71	0.65	25610.394	4323.833	9146.569	2827.121
0.080	1593.20	0.3568	18.18	7.69	34.27	0.00	47320.084	8603.652	16214.574	3640.006
0.085	1567.40	0.3826	19.10	17.71	48.61	0.35	23480.255	4484.076	11414.013	4157.962
0.090	1541.60	0.4084	25.45	12.73	33.33	0.00	47517.401	12095.339	15839.134	6047.669
0.095	1515.80	0.4342	21.00	15.53	33.33	0.00	30680.074	6444.216	10226.691	4763.116
0.100	1510.90	0.4391	16.86	5.52	39.24	0.00	24213.363	4082.486	9502.337	1337.366
0.105	1506.00	0.4440	10.51	16.27	37.29	1.02	44815.666	4709.443	16710.926	7292.041
0.110	1491.30	0.4587	11.16	18.60	48.37	0.00	29010.410	3238.371	14032.942	5397.286
0.115	1476.70	0.4733	13.77	16.67	39.86	1.69	26839.886	3695.347	10697.056	4473.314
0.120	1462.10	0.4879	17.33	5.11	41.11	0.00	31991.114	5545.126	13151.902	1635.101
0.125	1447.40	0.5026	10.54	19.48	50.70	0.80	71687.126	7553.514	36342.380	13966.875
0.130	1432.80	0.5172	9.21	22.15	58.99	0.22	37617.337	3464.755	22190.929	8331.910
0.135	1418.20	0.5318	16.78	13.33	46.44	0.69	60591.716	10168.265	28136.843	8078.895
