ETH Simulated time (yr AD),ETH solar modulation parameter (MeV),ETH solar modulation parameter sig (MeV),QL Simulated time (yr AD),QL solar modulation parameter (MeV),Sunspot times (yr AD),Sunspots
970.916666666666,635.451604748368,246.413790545567,1511.91666666666,267.709242981598,1700.5,8.3
971,634.420754116845,236.372575349932,1512,269.171266321531,1700.58333333333,9.13333333333257
971.083333333333,633.290305195318,226.429970635825,1512.08333333333,270.686705803014,1700.66666666666,9.96666666666742
971.166666666666,632.046772138305,216.617683980878,1512.16666666666,272.254206894336,1700.75,10.8
971.25,630.676279849799,206.966825084532,1512.25,273.872189142562,1700.83333333333,11.6333333333325
971.333333333333,629.164649466223,197.50769525099,1512.33333333333,275.538842025533,1700.91666666666,12.4666666666674
971.416666666666,627.497489917116,188.269583972146,1512.41666666666,277.252121334908,1701,13.3
971.5,625.660294741699,179.280574551453,1512.5,279.009746198168,1701.08333333333,14.1333333333325
971.583333333333,623.638543157247,170.567360409244,1512.58333333333,280.809196881,1701.16666666666,14.9666666666674
971.666666666666,621.417804279825,162.155073444502,1512.66666666666,282.647713536135,1701.25,15.8
971.75,618.983843382784,154.067125601584,1512.75,284.522296080382,1701.33333333333,16.6333333333325
971.833333333333,616.322729135059,146.325064609098,1512.83333333333,286.429705388727,1701.41666666666,17.4666666666674
971.916666666666,613.420940881798,138.948444728834,1512.91666666666,288.366465993001,1701.5,18.3
972,610.265475204342,131.954713277231,1513,290.328870463128,1701.58333333333,18.9999999999993
972.083333333333,606.843951202356,125.35911364535,1513.08333333333,292.312985633194,1701.66666666666,19.7000000000006
972.166666666666,603.144714126322,119.174605505244,1513.16666666666,294.314660816933,1701.75,20.4
972.25,599.156937086182,113.411802801439,1513.25,296.329538143971,1701.83333333333,21.0999999999993
972.333333333333,594.870720540954,108.078929965351,1513.33333333333,298.353065141801,1701.91666666666,21.8000000000006
972.416666666666,590.277189172077,103.181796582965,1513.41666666666,300.380509684885,1702,22.5
972.5,585.368585628254,98.7237905352616,1513.5,302.406977424771,1702.08333333333,23.1999999999993
972.583333333333,580.138360547407,94.7058894456027,1513.58333333333,304.427431798878,1702.16666666666,23.9000000000006
972.666666666666,574.581258224465,91.1266901161675,1513.66666666666,306.436716689656,1702.25,24.6
972.75,568.693397300654,87.9824555138357,1513.75,308.429581770164,1702.33333333333,25.2999999999993
972.833333333333,562.472345897509,85.2671787700654,1513.83333333333,310.400710527205,1702.41666666666,26.0000000000006
972.916666666666,555.917190704909,82.97266358526,1513.91666666666,312.344750899409,1702.5,26.7
973,549.028599652876,81.0886203714136,1514,314.256348405522,1702.58333333333,27.6666666666657
973.083333333333,541.808877935118,79.6027774220517,1514.08333333333,316.130181569675,1702.66666666666,28.6333333333342
973.166666666666,534.262017265149,78.5010063545448,1514.16666666666,317.960999380527,1702.75,29.5999999999999
973.25,526.393738275333,77.7674610075374,1514.25,319.743660456324,1702.83333333333,30.5666666666657
973.333333333333,518.211525890564,77.3847288797364,1514.33333333333,321.473173530882,1702.91666666666,31.5333333333342
973.416666666666,509.724657357126,77.3339940680474,1514.41666666666,323.14473882206,1703,32.5
973.5,500.94422244679,77.5952105196629,1514.5,324.753789787419,1703.08333333333,33.4666666666657
973.583333333333,491.883135228702,78.1472842689648,1514.58333333333,326.296034706994,1703.16666666666,34.4333333333342
973.666666666666,482.556136720067,78.9682631914732,1514.66666666666,327.767497459541,1703.25,35.4
973.75,472.979787690604,80.0355326728165,1514.75,329.164556776763,1703.33333333333,36.3666666666657
973.833333333333,463.172450903613,81.3260154588227,1514.83333333333,330.483983170668,1703.41666666666,37.3333333333342
973.916666666666,453.154262126469,82.8163738226111,1514.91666666666,331.722972632871,1703.5,38.3
974,442.947089333383,84.4832120578863,1515,332.879176104146,1703.58333333333,40.1083333333316
974.083333333333,432.574479647259,86.3032771976767,1515.08333333333,333.95072362415,1703.66666666666,41.9166666666683
974.166666666666,422.061593711224,88.2536558021287,1515.16666666666,334.936242039428,1703.75,43.7249999999999
974.25,411.435127325153,90.3119647046419,1515.25,335.834865232271,1703.83333333333,45.5333333333316
974.333333333333,400.723220320371,92.45653376081,1515.33333333333,336.646236057331,1703.91666666666,47.3416666666683
974.416666666666,389.955352787586,94.6665788629228,1515.41666666666,337.37049949635,1704,49.15
974.5,379.162228938865,96.9223637106244,1515.5,338.008286895083,1704.08333333333,50.9583333333316
974.583333333333,368.375649086929,99.2053490465518,1515.58333333333,338.560691485668,1704.16666666666,52.7666666666683
974.666666666666,357.628370467749,101.498328275681,1515.66666666666,339.029235710231,1704.25,54.575
974.75,346.953957914651,103.785548583213,1515.75,339.415831149807,1704.33333333333,56.3833333333316
974.833333333333,336.386625712585,106.05281683634,1515.83333333333,339.722732130699,1704.41666666666,58.1916666666683
974.916666666666,325.961072318641,108.287589694486,1515.91666666666,339.952484331734,1704.5,60
975,315.712310023592,110.479047464077,1516,340.107869950999,1704.58333333333,63.0583333333305
975.083333333333,305.675492015408,112.618151328893,1516.08333333333,340.191851194944,1704.66666666666,66.1166666666694
975.166666666666,295.885739596364,114.697683684697,1516.16666666666,340.207513979794,1704.75,69.175
975.25,286.377972374311,116.712271425109,1516.25,340.158013721558,1704.83333333333,72.2333333333305
975.333333333333,277.186744041027,118.658392166178,1516.33333333333,340.046524910804,1704.91666666666,75.2916666666694
975.416666666666,268.346085944183,120.534363546068,1516.41666666666,339.87619586675,1705,78.35
975.5,259.889360192427,122.340315883361,1516.5,339.650109717626,1705.08333333333,81.4083333333305
975.583333333333,251.849123598077,124.078148620506,1516.58333333333,339.371252311472,1705.16666666666,84.4666666666694
975.666666666666,244.257003385889,125.751471113511,1516.66666666666,339.042487438533,1705.25,87.525
975.75,237.143585276942,127.365528446959,1516.75,338.666539442646,1705.33333333333,90.5833333333305
975.833333333333,230.538314287498,128.927113052277,1516.83333333333,338.245983011872,1705.41666666666,93.6416666666694
975.916666666666,224.469408357985,130.444462994735,1516.91666666666,337.783239665714,1705.5,96.7
976,218.96378474123,131.927147879172,1517,337.280580197476,1705.58333333333,92.6666666666703
976.083333333333,214.046998923444,133.38594340601,1517.08333333333,336.740132095437,1705.66666666666,88.6333333333296
976.166666666666,209.743195711382,134.832695690794,1517.16666666666,336.163890786661,1705.75,84.6
976.25,206.075071976753,136.280176557505,1517.25,335.553733464862,1705.83333333333,80.5666666666703
976.333333333333,203.06385039472,137.741931133239,1517.33333333333,334.911434295498,1705.91666666666,76.5333333333296
976.416666666666,200.729263353076,139.232119189748,1517.41666666666,334.238679907193,1706,72.5
976.5,199.089546054824,140.765351772636,1517.5,333.537084227707,1706.08333333333,68.4666666666703
976.583333333333,198.16143769678,142.356524725482,1517.58333333333,332.808201871547,1706.16666666666,64.4333333333296
976.666666666666,197.960189480174,144.02065075885,1517.66666666666,332.053539424911,1706.25,60.4
976.75,198.499578092659,145.772691741726,1517.75,331.274564102911,1706.33333333333,56.3666666666703
976.833333333333,199.791923190762,147.627392911906,1517.83333333333,330.47270937583,1706.41666666666,52.3333333333296
976.916666666666,201.848107304065,149.599120711855,1517.91666666666,329.64937727741,1706.5,48.3
977,204.677596476176,151.701705952354,1518,328.805937220409,1706.58333333333,47.0500000000011
977.083333333333,208.288459866605,153.948293984277,1518.08333333333,327.943721254057,1706.66666666666,45.7999999999988
977.166666666666,212.687386506454,156.351203515441,1518.16666666666,327.064015805882,1706.75,44.55
977.25,217.879697489952,158.921795634584,1518.25,326.168050057421,1706.83333333333,43.3000000000011
977.333333333333,223.8693521143,161.670354485898,1518.33333333333,325.256981210568,1706.91666666666,42.0499999999988
977.416666666666,230.658946802805,164.605980872201,1518.41666666666,324.331877009253,1707,40.8
977.5,238.249705981977,167.736499860129,1518.5,323.393695990558,1707.08333333333,39.5500000000011
977.583333333333,246.6414643804,171.068383226202,1518.58333333333,322.443266050616,1707.16666666666,38.2999999999988
977.666666666666,255.832640460672,174.606687326186,1518.66666666666,321.481262024268,1707.25,37.05
977.75,265.820200885982,178.355006696214,1518.75,320.508183093712,1707.33333333333,35.8000000000011
977.833333333333,276.599616061696,182.315443403156,1518.83333333333,319.524330960765,1707.41666666666,34.5499999999988
977.916666666666,288.164806880284,186.488591855054,1518.91666666666,318.529789839931,1707.5,33.3
978,300.50808283881,190.873538466854,1519,317.52440945332,1707.58333333333,31.9166666666679
978.083333333333,313.620071718814,195.467875275307,1519.08333333333,316.507792317221,1707.66666666666,30.533333333332
