Year,D13C,d18O
2000,1.2317421215,3.4489353825
1999,1.1655874734,3.2838616388
1998,1.6431545853,3.0894562795
1997,1.6911659313,2.8687549929
1996,1.7581036987,3.065629054
1995,1.829,2.8032964253
1994,1.5306307249,3.2394804902
1993,1.3455,3.0492742015
1992,1.3465438632,2.7907869088
1991,1.2338628456,2.9927086577
1990,1.2208521557,3.6421483915
1989,1.316,3.1534014423
1988,1.1090221531,3.1111491783
1987,1.4532682198,3.1561196171
1986,1.2252400086,3.1051979296
1985,1.488,2.8451928926
1984,1.4866737225,2.9726646556
1983,1.9786501453,3.2416026684
1982,1.7177870557,3.1154540313
1981,1.73,2.9129107426
1980,1.6551095432,3.1569677372
1979,1.662,2.78380387
1978,1.905,3.604536475
1977,1.6476795413,3.3198294584
1976,1.7038202302,3.6717137866
1975,1.5475,3.4248478992
1974,1.6,3.405628674
1973,1.8956666667,3.3359626143
1972,2.041,3.5023257169
1971,2.0095,3.2862760653
1970,1.8825,3.2546619684
1969,1.6365337754,3.2580089574
1968,1.6064656198,3.3643603704
1967,1.837,3.40258962
1966,1.9825,3.0648420625
1965,1.9815,3.2603481206
1964,1.98975,3.127408857
1963,1.832,3.2633832811
1962,1.9606666667,3.3658793614
1961,2.12095736,3.3891528798
1960,1.9836666667,3.2288879875
1959,1.888,3.1447951631
1958,1.9853333333,3.1324964515
1957,1.6607402986,3.0660471502
1956,1.9002695325,3.1972915593
1955,2.0498911391,3.2738719313
1954,2.065143404,3.1511400332
1953,1.9551202926,3.1657322477
1952,1.975700499,2.9875906859
1951,1.8221591886,3.305494507
1950,1.8426734478,3.218249504
1949,1.8346977977,3.3696658131
1948,1.8710017638,3.3692631804
1947,1.8087637155,3.302743038
1946,1.8356005513,3.5462926014
1945,1.8216464381,3.5475192914
1944,1.5375098566,3.2347482971
1943,1.7116902792,3.363956813
1942,1.647,3.4730106076
1941,1.480080346,3.3459932765
1940,1.6259227084,3.4125164595
1939,1.9795528087,3.4167818207
1938,1.9373414329,3.5344825543
1937,1.8671695182,3.3990356724
1936,1.7401603777,3.5869437336
1935,1.6328569199,3.3661565977
1934,1.4671658138,3.6715837904
1933,1.4773924531,3.6053052677
1932,1.7333870378,3.3480580879
1931,2.201,3.4693959367
1930,1.9135712368,3.4544973492
1929,1.9103494646,3.5568149288
1928,1.8550334266,3.4284946471
1927,1.8761216204,3.5105545798
1926,1.505,3.4117163718
1925,1.424,3.1412695925
1924,1.489,3.6328287505
1923,1.352,3.5405572121
1922,1.247,3.4948222065
1921,1.642,3.424950446
1920,1.6715,3.8194497266
1919,1.6763333333,3.4709938874
1918,1.884,3.2936374879
1917,2.242,3.3707190441
1916,1.7975,3.6980256015
1915,2.004,2.9793344626
1914,1.66,3.437027287
1913,1.617,3.2992703106
