Time (years AD),Calibration_constrained_Mean,Calibration_constrained_Min,Calibration_constrained_Max,Calibration_constrained_Mean - 2SE,Calibration_constrained_Mean + 2SE,Model_constrained_Mean,Model_constrained_Min,Model_constrained_Max,Model_constrained_Mean - 2SE,Model_constrained_Mean + 2SE
1969,-1.370,-3.091,-0.298,-5.408,2.019,-1.535,-1.771,-1.240,-3.977,0.966
1968,-0.636,-1.692,0.557,-4.009,2.874,-0.369,-0.829,0.126,-3.035,2.333
1967,-0.841,-1.986,0.277,-4.303,2.594,-0.572,-1.304,-0.168,-3.510,2.038
1966,-1.307,-1.964,-0.174,-4.280,2.142,-1.525,-1.915,-1.212,-4.121,0.995
1965,-0.902,-1.845,0.180,-4.161,2.496,-1.103,-1.602,-0.554,-3.809,1.652
1964,-1.984,-2.553,-1.167,-4.869,1.150,-2.085,-2.509,-1.653,-4.715,0.554
1963,-2.372,-3.032,-1.688,-5.349,0.629,-2.275,-2.852,-1.558,-5.058,0.648
1962,-1.795,-2.567,-0.713,-4.883,1.604,-2.261,-2.669,-1.314,-4.875,0.892
1961,-1.732,-2.194,-0.442,-4.510,1.875,-1.837,-2.314,-1.310,-4.520,0.896
1960,-1.337,-1.893,-0.041,-4.210,2.276,-1.754,-2.218,-1.271,-4.424,0.935
1959,-2.356,-3.067,-1.440,-5.384,0.877,-1.840,-2.272,-1.351,-4.478,0.856
1958,-1.594,-2.570,-0.461,-4.887,1.855,-1.436,-2.022,-0.541,-4.229,1.666
1957,-1.031,-1.818,0.255,-4.135,2.572,-0.660,-1.291,0.064,-3.498,2.270
1956,-1.845,-2.789,-0.602,-5.106,1.714,-1.053,-1.615,-0.355,-3.821,1.851
1955,-1.564,-2.132,-0.980,-4.449,1.337,-1.195,-1.588,-0.870,-3.794,1.336
1954,-1.418,-2.146,-0.460,-4.462,1.857,-0.976,-1.232,-0.719,-3.438,1.487
1953,-1.759,-2.299,-0.697,-4.616,1.620,-1.373,-1.694,-0.902,-3.901,1.304
1952,-0.700,-1.285,0.100,-3.602,2.417,-0.387,-0.600,-0.102,-2.806,2.105
1951,-1.122,-1.796,0.234,-4.113,2.551,-0.098,-0.625,0.436,-2.831,2.642
1950,-0.860,-1.595,0.766,-3.912,3.083,-0.072,-0.391,0.246,-2.597,2.452
1949,0.115,-0.706,1.717,-3.023,4.033,-0.524,-0.795,-0.232,-3.001,1.974
1948,-0.962,-1.629,0.032,-3.946,2.349,-1.129,-1.487,-0.730,-3.694,1.477
1947,-0.969,-1.810,-0.100,-4.127,2.217,-1.639,-2.199,-1.146,-4.405,1.060
1946,-1.433,-1.944,-0.801,-4.261,1.516,-1.379,-1.794,-1.051,-4.000,1.155
1945,-0.620,-1.994,1.566,-4.311,3.882,-0.125,-0.601,0.653,-2.807,2.859
1944,-0.343,-0.932,0.672,-3.249,2.989,-0.509,-0.999,-0.108,-3.205,2.098
1943,-0.669,-1.499,1.560,-3.815,3.877,-0.645,-1.168,-0.164,-3.374,2.042
1942,-1.051,-1.908,0.542,-4.224,2.859,-2.169,-2.634,-1.408,-4.840,0.799
1941,-0.049,-0.982,0.797,-3.299,3.113,-0.336,-0.927,0.576,-3.133,2.782
1940,-1.779,-2.639,-0.553,-4.955,1.763,-2.527,-3.193,-1.663,-5.400,0.544
1939,-0.373,-0.983,0.679,-3.300,2.996,-0.108,-0.418,0.373,-2.624,2.579
1938,-0.570,-1.772,0.664,-4.089,2.981,-0.339,-0.859,0.556,-3.065,2.763
1937,0.080,-1.423,1.194,-3.740,3.511,0.352,-0.087,0.820,-2.294,3.026
1936,-1.019,-1.880,0.228,-4.196,2.545,-0.750,-1.231,0.104,-3.437,2.310
1935,-0.412,-1.311,0.954,-3.627,3.271,-1.018,-1.437,-0.392,-3.644,1.814
1934,-1.313,-2.329,-0.360,-4.646,1.957,-1.172,-1.638,-0.602,-3.845,1.604
1933,-0.330,-1.364,0.854,-3.681,3.171,0.228,-0.102,0.489,-2.308,2.696
1932,-0.392,-1.959,0.906,-4.276,3.223,-1.018,-1.583,-0.385,-3.789,1.822
1931,0.227,-0.468,0.771,-2.785,3.087,0.091,-0.247,0.449,-2.453,2.656
1930,0.460,-0.303,1.051,-2.619,3.368,0.337,0.063,0.485,-2.144,2.691
1929,-0.083,-0.961,1.117,-3.277,3.433,-0.746,-1.278,-0.248,-3.485,1.958
1928,0.864,0.263,1.416,-2.054,3.733,0.401,-0.091,0.720,-2.298,2.926
1927,0.915,-0.075,2.215,-2.392,4.532,0.831,0.426,1.080,-1.780,3.286
1926,0.935,-0.362,1.626,-2.679,3.943,0.841,0.272,1.267,-1.934,3.473
1925,1.199,-0.269,2.094,-2.586,4.411,1.601,1.172,1.960,-1.034,4.167
1924,0.747,-0.157,1.516,-2.474,3.833,0.572,-0.038,1.000,-2.244,3.206
1923,0.624,-0.309,1.320,-2.626,3.637,0.315,-0.314,0.893,-2.521,3.099
1922,1.075,0.003,2.041,-2.314,4.357,1.042,0.221,1.724,-1.985,3.931
1921,1.412,0.450,2.762,-1.867,5.079,1.057,0.592,1.565,-1.614,3.772
1920,1.877,0.896,2.448,-1.421,4.765,1.658,1.236,2.154,-0.970,4.360
1919,1.835,0.795,2.757,-1.522,5.073,2.030,1.566,2.593,-0.641,4.799
1918,1.313,0.356,2.004,-1.961,4.320,1.583,1.114,1.988,-1.093,4.194
1917,0.836,-0.377,1.560,-2.693,3.877,-0.166,-0.623,0.480,-2.829,2.686
1916,1.032,-0.594,1.837,-2.911,4.153,0.282,-0.375,0.863,-2.581,3.069
1915,1.741,0.790,2.386,-1.526,4.703,1.768,1.388,2.295,-0.819,4.501
