# /* DATA DESCRIPTION:
# Citation:	Tegzes, Andrea D; Jansen, Eystein; Telford, Richard J (2015): 01. Sortable-silt-mean-size time series from sediment cores JM97-948/2A and MD95-2011. PANGAEA, https://doi.org/10.1594/PANGAEA.873989, 
# 	In supplement to: Tegzes, AD et al. (2015): Which is the better proxy for paleo-current strength: Sortable-silt mean size (SS) or sortable-silt mean grain diameter (dSS)? A case study from the Nordic Seas. Geochemistry, Geophysics, Geosystems, 16(10), 3456-3471, https://doi.org/10.1002/2014GC005655
# Related to:	Tegzes, Andrea D; Jansen, Eystein; Lorentzen, Torbjørn; Telford, Richard J (2017): Northward oceanic heat transport in the main branch of the Norwegian Atlantic Current over the late Holocene. The Holocene, https://doi.org/10.1177/0959683616683251
# 	Tegzes, Andrea D; Jansen, Eystein; Telford, Richard J (2014): The role of the northward-directed (sub)surface limb of the Atlantic Meridional Overturning Circulation during the 8.2 ka event. Climate of the Past, 10, 1887-1904, https://doi.org/10.5194/cp-10-1887-2014
# Coverage:	MEDIAN LATITUDE: 66.969745 * MEDIAN LONGITUDE: 7.639330 * SOUTH-BOUND LATITUDE: 66.969660 * WEST-BOUND LONGITUDE: 7.639330 * NORTH-BOUND LATITUDE: 66.969830 * EAST-BOUND LONGITUDE: 7.639330
# 	DATE/TIME START: 1995-06-08T00:00:00 * DATE/TIME END: 1995-06-08T00:00:00
# 	MINIMUM DEPTH, sediment/rock: 0.0050 m * MAXIMUM DEPTH, sediment/rock: 5.6950 m
# Event(s):	JM97-948/2A * LATITUDE: 66.969830 * LONGITUDE: 7.639330 * ELEVATION: -1048.0 m * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: Taken with R/V "Jan Mayen"
# 	MD95-2011 (MD952011) * LATITUDE: 66.969660 * LONGITUDE: 7.639330 * DATE/TIME: 1995-06-08T00:00:00 * ELEVATION: -1048.0 m * Recovery: 17 m * LOCATION: Voring Plateau * CAMPAIGN: MD101 (IMAGES I) (URI: https://doi.org/10.17600/95200110) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XII Sections, Site location wrong, slumps. Bent core; liner imploded in the middle of the core; 30 cm of sediment of the top recovered in a 1/2 liner
# Parameter(s):	Event label (Event) * PI: Tegzes, Andrea D (https://orcid.org/0000-0002-5772-0506, andreategzes@hotmail.com)
# 	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Tegzes, Andrea D (https://orcid.org/0000-0002-5772-0506, andreategzes@hotmail.com) * COMMENT: sample mid-point
# 	AGE [ka BP] (Age) * GEOCODE * PI: Tegzes, Andrea D (https://orcid.org/0000-0002-5772-0506, andreategzes@hotmail.com) * COMMENT: modelled calibrated BP(1950) age
# 	Age [a AD] (Age) * PI: Tegzes, Andrea D (https://orcid.org/0000-0002-5772-0506, andreategzes@hotmail.com) * COMMENT: Calendar year
# 	Sortable-silt mean size, average [µm] (SS avg) * PI: Tegzes, Andrea D (https://orcid.org/0000-0002-5772-0506, andreategzes@hotmail.com) * COMMENT: Sortable-silt mean size: average measured value
# 	Sortable-silt mean size, minimum [µm] (SS min) * PI: Tegzes, Andrea D (https://orcid.org/0000-0002-5772-0506, andreategzes@hotmail.com) * COMMENT: Sortable-silt mean size: minimum measured value
# 	Sortable-silt mean size, maximum [µm] (SS max) * PI: Tegzes, Andrea D (https://orcid.org/0000-0002-5772-0506, andreategzes@hotmail.com) * COMMENT: Sortable-silt mean size: maximum measured value
# License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
# Size:	1609 data points
# */
Event	Depth [m]	Age [ka BP]	Age [a AD]	SS avg [µm]	SS min [µm]	SS max [µm]
JM97-948/2A	0.0125	-0.035	1985	31.4	31.3	31.6
JM97-948/2A	0.0225	-0.025	1975	31.8	31.4	32.3
JM97-948/2A	0.0275	-0.020	1970	31.0	30.5	31.6
JM97-948/2A	0.0375	-0.010	1960	31.3	31.0	31.7
JM97-948/2A	0.0425	-0.005	1955	31.2	30.6	31.7
JM97-948/2A	0.0475	-0.001	1951	31.2	30.7	31.5
JM97-948/2A	0.0575	0.007	1943	30.8	30.2	31.8
JM97-948/2A	0.0675	0.014	1936	31.5	30.9	31.8
JM97-948/2A	0.0725	0.016	1934	31.3	30.9	31.8
JM97-948/2A	0.0775	0.018	1932	32.1	31.3	32.8
JM97-948/2A	0.0825	0.020	1930	31.4	30.9	32.1
JM97-948/2A	0.0925	0.023	1927	30.9	30.5	31.3
JM97-948/2A	0.0975	0.025	1925	30.4	30.2	30.6
JM97-948/2A	0.1075	0.035	1915	29.5	29.0	29.8
JM97-948/2A	0.1125	0.042	1908	30.5	30.1	31.0
JM97-948/2A	0.1175	0.051	1899	29.3	28.9	30.1
JM97-948/2A	0.1225	0.061	1889	29.1	28.6	29.7
JM97-948/2A	0.1275	0.072	1878	29.2	28.9	29.5
JM97-948/2A	0.1325	0.085	1865	28.9	28.0	30.0
JM97-948/2A	0.1375	0.098	1852	30.4	30.0	30.8
JM97-948/2A	0.1425	0.113	1837	31.0	30.7	31.3
JM97-948/2A	0.1475	0.128	1822	31.2	30.7	31.7
JM97-948/2A	0.1575	0.161	1789	30.6	30.1	31.1
JM97-948/2A	0.1625	0.179	1771	30.1	29.5	30.6
JM97-948/2A	0.1675	0.196	1754	30.8	30.2	31.3
JM97-948/2A	0.1725	0.214	1736	31.0	30.4	31.5
JM97-948/2A	0.1775	0.232	1718	30.7	30.4	31.0
JM97-948/2A	0.1825	0.251	1699	30.5	29.8	31.2
JM97-948/2A	0.1875	0.269	1681	30.2	29.5	31.0
JM97-948/2A	0.1925	0.287	1663	31.1	30.5	31.9
JM97-948/2A	0.1975	0.304	1646	30.9	30.3	31.4
JM97-948/2A	0.2075	0.338	1612	31.4	30.6	32.5
JM97-948/2A	0.2125	0.354	1596	31.4	30.9	31.7
JM97-948/2A	0.2175	0.369	1581	30.9	30.5	31.4
JM97-948/2A	0.2225	0.384	1566	30.9	30.5	31.5
JM97-948/2A	0.2275	0.398	1552	30.4	29.8	31.2
JM97-948/2A	0.2325	0.411	1539	31.0	30.6	31.4
JM97-948/2A	0.2375	0.423	1527	30.5	29.7	31.1
JM97-948/2A	0.2425	0.434	1516	30.9	30.4	31.4
JM97-948/2A	0.2475	0.445	1505	30.2	29.6	30.7
JM97-948/2A	0.2575	0.465	1485	30.4	29.9	31.2
JM97-948/2A	0.2625	0.474	1476	30.8	30.4	31.1
JM97-948/2A	0.2725	0.492	1458	30.4	29.9	30.9
JM97-948/2A	0.2775	0.500	1450	30.7	30.3	31.0
JM97-948/2A	0.2825	0.508	1442	30.3	30.1	30.6
JM97-948/2A	0.2875	0.515	1435	30.6	30.2	30.9
JM97-948/2A	0.2925	0.523	1427	30.8	29.9	31.2
JM97-948/2A	0.2975	0.530	1420	30.0	29.6	30.6
MD95-2011	0.0050			31.6	30.7	32.3
MD95-2011	0.0150			31.1	30.2   	31.6
MD95-2011	0.0250			29.8	29.7	29.9
MD95-2011	0.0350	0.562	1388	30.1	29.7	30.5
MD95-2011	0.0450	0.563	1387	30.7	30.4	31.1
MD95-2011	0.0550	0.564	1386	30.6	30.3	31.0
MD95-2011	0.0650	0.565	1385	29.9	29.6	30.3
MD95-2011	0.0750	0.566	1384	30.2	30.0	30.4
MD95-2011	0.0850	0.567	1383	30.7	30.2	31.2
MD95-2011	0.0950	0.568	1382	29.5	28.8	29.8
MD95-2011	0.1050	0.570	1380	30.8	30.5	31.2
