# Proxy series have been linearly interpolated to annual dataseries, then smoothed using a 25 yr Gaussian low pass filter.					The composite series  have been normalised to the period 1000 - 1974 AD.  

# N1	Malangen Fjord	δ18O of benthic foraminifera 
# N2	Vøring Plateau	δ18O of planktonic foraminifera 
# N3	Vøring Plateau	Planktonic foraminifera 
# N4	Ranafjord	δ18O of benthic foraminifera 
# N5	Norwegian Margin	δ18O of planktonic foraminifera 
# N6	Norwegian Channel	δ18O of benthic foraminifera 
# I1	North Iceland Shelf	Arctica islandica shell growth increments 
# I2	North Iceland Shelf, core site MD99-2275	Diatoms 
# I3	North Iceland Shelf, core site MD99-2276	Alkenones 
# S1	Loch Sunart 	δ18O of benthic foraminifera 
# N_comp	Norwegian Coast	Composite record derived from N1-N6, normalised for the period 1000 - 1974  AD
# I_Comp	North Iceland Shelf	Composite record derived from I1-I3, normalised for the period 1000 - 1974  AD
# NENA_Comp		Composite record derived from the 10 proxy records shown above, normalised for the period 1000 - 1974  AD
#													
#													
Year	N1	N2	N3	N4	N5	N6	I1	I2	I3	S1	N_comp	I_Comp	NENA_Comp
1996								7.088					
1995							3.309	7.070		9.532			
1994							3.319	7.069		9.484			
1993							3.335	7.079		9.446			
1992							3.346	7.095		9.424			
1991							3.353	7.117	6.640	9.409			
1990							3.356	7.142	6.637	9.402			
1989							3.351	7.165	6.593	9.403			
1988				2.298	1.148		3.335	7.186	6.510	9.413			
1987				2.302	1.134		3.305	7.202	6.397	9.433			
1986				2.304	1.123		3.269	7.213	6.263	9.461			
1985	6.684		10.444	2.306	1.115		3.211	7.218	6.122	9.498			
1984	6.653		10.393	2.306	1.112		3.138	7.218	5.985	9.544			
1983	6.637		10.351	2.305	1.112		3.062	7.213	5.862	9.595			
1982	6.637		10.322	2.302	1.117		2.980	7.204	5.760	9.647			
1981	6.651		10.306	2.299	1.125		2.896	7.191	5.680	9.693			
1980	6.688		10.304	2.296	1.135		2.840	7.177	5.622	9.732			
1979	6.737		10.318	2.293	1.145		2.807	7.161	5.580	9.760			
1978	6.797		10.346	2.291	1.154		2.799	7.144	5.555	9.775			
1977	6.863		10.387	2.290	1.161		2.821	7.125	5.535	9.776			
1976	6.927		10.439	2.289	1.167		2.871	7.104	5.514	9.766			
1975	6.976	2.078	10.502	2.288	1.171	2.528	2.933	7.083	5.485	9.751			
1974	7.008	2.069	10.572	2.289	1.174	2.513	3.011	7.060	5.447	9.730	1.489	-1.161	0.441
1973	7.020	2.059	10.649	2.289	1.176	2.497	3.085	7.038	5.403	9.707	1.545	-1.150	0.493
1972	7.015	2.049	10.731	2.291	1.178	2.481	3.154	7.017	5.361	9.685	1.585	-1.141	0.531
1971	7.002	2.040	10.817	2.292	1.180	2.468	3.202	7.000	5.329	9.664	1.615	-1.138	0.561
1970	6.989	2.032	10.906	2.294	1.184	2.458	3.225	6.988	5.315	9.648	1.630	-1.140	0.575
1969	6.982	2.028	10.996	2.296	1.188	2.454	3.225	6.985	5.326	9.639	1.637	-1.139	0.587
1968	6.981	2.027	11.083	2.297	1.191	2.455	3.197	6.994	5.361	9.635	1.646	-1.135	0.599
1967	6.992	2.029	11.165	2.298	1.193	2.460	3.153	7.015	5.421	9.634	1.657	-1.120	0.618
1966	7.011	2.034	11.240	2.298	1.192	2.469	3.108	7.051	5.499	9.635	1.682	-1.084	0.656
1965	7.037	2.042	11.304	2.296	1.189	2.478	3.072	7.099	5.586	9.641	1.720	-1.026	0.715
1964	7.071	2.052	11.355	2.292	1.184	2.487	3.059	7.157	5.674	9.649	1.777	-0.942	0.800
1963	7.106	2.063	11.392	2.287	1.177	2.494	3.067	7.222	5.751	9.659	1.847	-0.841	0.903
1962	7.142	2.075	11.414	2.280	1.168	2.498	3.095	7.290	5.812	9.670	1.935	-0.729	1.023
1961	7.172	2.087	11.420	2.272	1.159	2.497	3.139	7.355	5.851	9.680	2.023	-0.619	1.143
1960	7.197	2.098	11.412	2.263	1.150	2.493	3.206	7.414	5.869	9.684	2.114	-0.507	1.262
