ID,Study,Variable,Season,Description,Units,Authors,Year,file,Column,separator,Index_col,Time_ref,Time_factor,nan_val,Core,Location,Latitude,Longitude,Depth,Publication
SST_NIS_Sicre,Sicre_2011,SST,summer,Alkenone based SST,°C,Sicre et al.,2011,sicre2011-md992275.txt,T°C,whitespace,0,CE,,,MD99-2275,North Icelandic Shelf,66.55,-17.7,410,"Sicre, M. ‐A., Hall, I. R., Mignot, J., Khodri, M., Ezat, U., Truong, M. ‐X., Eiríksson, J., & Knudsen, K. ‐L. (2011). Sea surface temperature variability in the subpolar Atlantic over the last two millennia. Paleoceanography, 26(4), 2011PA002169. https://doi.org/10.1029/2011PA002169
"
IRD_Alonso_2017,Alonso-Garcia_2017,IRD,,Ice Rafted Debri in the range of 63-150 micrometers,grains $g^{-1}$,Alonso-García et al.,2017,Alonso_Garcia_2017_GS06-144-03_IRD.tab,IRD,whitespace,1,CE,,,GS06-144-03,"Eirik Drift, Labrador Sea",57.29,-48.37,,"Alonso-Garcia, M., Kleiven, H. (Kikki) F., McManus, J. F., Moffa-Sanchez, P., Broecker, W. S., & Flower, B. P. (2017). Freshening of the Labrador Sea as a trigger for Little Ice Age development. Climate of the Past, 13(4), 317–331. https://doi.org/10.5194/cp-13-317-2017
"
HSG_Alonso_2017,Alonso-Garcia_2017,HSG,,Hematite-stained grains relative abundance,%,Alonso-García et al.,2017,Alonso_Garcia_2017_GS06-144-03_IRD.tab,HSG[%],whitespace,1,CE,,,GS06-144-03,"Eirik Drift, Labrador Sea",57.29,-48.37,,"Alonso-Garcia, M., Kleiven, H. (Kikki) F., McManus, J. F., Moffa-Sanchez, P., Broecker, W. S., & Flower, B. P. (2017). Freshening of the Labrador Sea as a trigger for Little Ice Age development. Climate of the Past, 13(4), 317–331. https://doi.org/10.5194/cp-13-317-2017
"
d18O_Reynolds_2016,Reynolds_2016,$\delta ^{18}O$,March-October,Oxygen isotope from bivalve shells,‰,Reynolds et al.,2016,reynolds2016.txt,d18Oa.island,whitespace,0,CE,,,bivalves,North Icelandic Shelf,66.5265,-18.19567,81-83,"Reynolds, D. J., Scourse, J. D., Halloran, P. R., Nederbragt, A. J., Wanamaker, A. D., Butler, P. G., Richardson, C. A., Heinemeier, J., Eiríksson, J., Knudsen, K. L., & Hall, I. R. (2016). Annually resolved North Atlantic marine climate over the last millennium. Nature Communications, 7(1). https://doi.org/10.1038/ncomms13502
"
SIC_Miettinen_2015,Miettinen_2015,SIC,April,Sea Ice Concentration inferred from diatom assemblages,%,Miettinen et al,2015,miettinen2015-ice.txt,SIC%-Apr,whitespace,0,CE,,,MD99-2322,SE Greenland shelf,67.136333,-30.827833,714,"Miettinen, A., Divine, D. V., Husum, K., Koç, N., & Jennings, A. (2015). Exceptional ocean surface conditions on the SE Greenland shelf during the Medieval Climate Anomaly. Paleoceanography, 30(12), 1657–1674."
SST_SI_Moffa_2014,Moffa-Sanchez_2014_SI,SST,annual mean,SST based on paired Mg/Ca–δ18O signals from the planktonic foraminifera Globorotalia inflata,°C,Moffa-Sánchez et al. ,2014,moffa-sanchez2014_SI-ngs-17-5p.txt,sst-Mg/Ca-g.infla,whitespace,1,CE,,-999,RAPiD-17-5P,South Iceland,61.481667,-19.536,2303,"Moffa-Sánchez, P., Born, A., Hall, I. R., Thornalley, D. J. R., & Barker, S. (2014). Solar forcing of North Atlantic surface temperature and salinity over the past millennium. Nature Geoscience, 7(4), 275–278"
SSS_SI_Moffa_2014,Moffa-Sanchez_2014_SI,SSS,annual mean,SSS based on paired Mg/Ca–δ18O signals from the planktonic foraminifera Globorotalia inflata,PSU,Moffa-Sánchez et al. ,2014,moffa-sanchez2014_SI-ngs-17-5p.txt,sal-g.infla,whitespace,1,CE,,-999,RAPiD-17-5P,South Iceland,61.481667,-19.536,2303,"Moffa-Sánchez, P., Born, A., Hall, I. R., Thornalley, D. J. R., & Barker, S. (2014). Solar forcing of North Atlantic surface temperature and salinity over the past millennium. Nature Geoscience, 7(4), 275–278"
d18O_LS_Tquin_Moffa_2014,Moffa-Sanchez_2014_LS,$\delta ^{18}O$,summer,D18O from the planktonic foraminifer T. quinqueloba that inhabits near‐surface waters above the summer pycnocline ~50 m,‰,Moffa-Sánchez et al. ,2014,moffa-sanchez2014_LS-poc.txt,d18Ot.quin,whitespace,1,CE,,-999,RAPiD-35-25B,Labrador Sea,57.504167,-48.722333,3484,"Moffa‐Sánchez, P., Hall, I. R., Barker, S., Thornalley, D. J. R., & Yashayaev, I. (2014). Surface changes in the eastern Labrador Sea around the onset of the Little Ice Age. Paleoceanography, 29(3), 160–175."
d18O_LS_Npachy_Moffa_2014,Moffa-Sanchez_2014_LS,$\delta ^{18}O$,summer,D18O from the planktonic foraminifer Neogloboquadrina pachyderma that under the presence of warm Atlantic waters calcifies deeper (100-200m) whereas under the influence of the EGC polar waters it calcified closer to the surface.,‰,Moffa-Sánchez et al. ,2014,moffa-sanchez2014_LS-poc.txt,d18On.pachy-l,whitespace,1,CE,,-999,RAPiD-35-25B,Labrador Sea,57.504167,-48.722333,3484,"Moffa‐Sánchez, P., Hall, I. R., Barker, S., Thornalley, D. J. R., & Yashayaev, I. (2014). Surface changes in the eastern Labrador Sea around the onset of the Little Ice Age. Paleoceanography, 29(3), 160–175."
Nps_LS_Moffa_2014,Moffa-Sanchez_2014_LS,Nps,spring,Percentage of the polar planktonic foraminifera species Neogloboquadrina pachyderma as a proxy for SST and the relative influence of polar waters,%,Moffa-Sánchez et al. ,2014,moffa-sanchez2014_LS-poc.txt,n.pachy-l%,whitespace,1,CE,,-999,RAPiD-35-25B,Labrador Sea,57.504167,-48.722333,3484,"Moffa‐Sánchez, P., Hall, I. R., Barker, S., Thornalley, D. J. R., & Yashayaev, I. (2014). Surface changes in the eastern Labrador Sea around the onset of the Little Ice Age. Paleoceanography, 29(3), 160–175."
