# Grimsey, North Icelandic Shelf Annual d13C Data over the Last Millennium
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22950
#      Description: NOAA Landing Page
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/
#      Description: NOAA location of the template
#
# Archive: Paleoceanography
#
# Dataset_DOI:
#
# Parameter_Keywords: carbon isotopes
#---------------------------------------
# Contribution_Date
#    Date: 2017-11-01
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2018-08-01
#---------------------------------------
# Title
#    Study_Name: Grimsey, North Icelandic Shelf Annual d13C Data over the Last Millennium
#---------------------------------------
# Investigators
#      Investigators: Reynolds, D.J.; Hall, I.R.; Scourse, J.D.; Richardson, C.A.; Wanamaker, A.D.; Butler, P.G.
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Precision of d13C measurements: 0.05 per mil
#         Provided Keywords: Arctica islandica, annually-resolved, absolutely-dated, North Atlantic, Iceland, carbon isotopes, d13C
#---------------------------------------
# Publication
# Authors: Reynolds, D.J., Hall, I.R., Scourse, J.D., Richardson, C.A., Wanamaker, A.D., and Butler, P.G.
# Published_Date_or_Year: 
# Published_Title: Biological and climate controls on North Atlantic marine carbon dynamics over the last millennium: Insights from an absolutely-dated shell based record from the North Icelandic Shelf
# Journal_Name: Global Biogeochemical Cycles
# Volume: 31
# Edition: 
# Issue: 
# Pages: 1718-1735
# Report_Number: 
# DOI: 10.1002/2017GB005708
# Online_Resource: 
# Full_Citation: 
# Abstract: Given the rapid increase in atmospheric carbon dioxide concentrations (pCO2) over the industrial era there is a pressing need to construct long term records of natural carbon cycling prior to this perturbation and to develop a more robust understanding of the role the oceans play in the sequestration of atmospheric carbon. Here we reconstruct the historical biological and climatic controls on the carbon isotopic (d13C-shell) composition of the North Icelandic shelf waters over the last millennium derived from the shells of the long-lived marine bivalve mollusc Arctica islandica. Variability in the annually resolved d13C-shell record is dominated by multi-decadal variability with a negative trend (-0.003 ± 0.002‰ yr-1) over the industrial era (1800-2000 CE). This trend is consistent with the marine Suess effect brought about by the sequestration of isotopically light carbon (d13C of CO2) derived from the burning of fossil fuels. Comparison of the d13C-shell record with contemporary proxy archives, over the last millennium, and instrumental data over the 20th century, highlight that both biological (primary productivity) and physical environmental factors such as relative shifts in the proportion of Subpolar Mode Waters and Arctic Intermediate Waters entrained onto the North Icelandic shelf, atmospheric circulation patterns associated with the winter North Atlantic Oscillation, and subpolar gyre sea surface temperatures and salinity, are the likely mechanisms that contribute to natural variations in seawater d13C variability on the North Icelandic shelf. Contrasting d13C fractionation processes associated with these biological and physical mechanisms likely cause the attenuated local marine Suess effect signal at this locality.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: NERC
#    Grant: The Ultra Project - Grant No. 017008
#---------------------------------------
# Site_Information
# Site_Name: Grimsey
# Location: North Atlantic Ocean
# Country: Iceland
# Northernmost_Latitude: 66.5265
# Southernmost_Latitude: 66.5265
# Easternmost_Longitude: -18.195667
# Westernmost_Longitude: -18.195667
# Elevation: -80
#---------------------------------------
# Data_Collection
#   Collection_Name: Grimsey Reynolds2017
#   First_Year: 953
#   Last_Year: 2000
#   Time_Unit: AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_CE	age,,,year Common Era,,,,,N,
## d13C-a.island	delta 13C,Arctica islandica,,per mil PDB,Mar-Oct,paleoceanography,,isotope ratio mass spectrometry,N,Annual resolution absolutely dated; raw
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NA
age_CE	d13C-a.island	
2000	1.231742	
1999	1.165587	
1998	1.643155	
1997	1.691166	
1996	1.758104	
1995	1.829	
1994	1.530631	
1993	1.3455	
1992	1.346544	
1991	1.233863	
1990	1.220852	
1989	1.316	
1988	1.109022	
1987	1.453268	
1986	1.22524	
1985	1.488	
1984	1.486674	
1983	1.97865	
1982	1.717787	
1981	1.73	
1980	1.65511	
1979	1.662	
1978	1.905	
1977	1.64768	
1976	1.70382	
1975	1.5475	
1974	1.6	
1973	1.895667	
1972	2.041	
1971	2.0095	
1970	1.8825	
1969	1.636534	
1968	1.606466	
1967	1.837	
1966	1.9825	
1965	1.9815	
1964	1.98975	
1963	1.832	
1962	1.960667	
1961	2.120957	
1960	1.983667	
1959	1.888	
1958	1.985333	
1957	1.66074	
1956	1.90027	
1955	2.049891	
1954	2.065143	
1953	1.95512	
1952	1.9757	
1951	1.822159	
1950	1.842673	
1949	1.834698	
1948	1.871002	
1947	1.808764	
1946	1.835601	
1945	1.821646	
1944	1.53751	
1943	1.71169	
1942	1.647	
1941	1.48008	
1940	1.625923	
1939	1.979553	
1938	1.937341	
1937	1.86717	
1936	1.74016	
1935	1.632857	
1934	1.467166	
1933	1.477392	
1932	1.733387	
1931	2.201	
1930	1.913571	
1929	1.910349	
1928	1.855033	
1927	1.876122	
1926	1.505	
1925	1.424	
1924	1.489	
1923	1.352	
1922	1.247	
1921	1.642	
1920	1.6715	
1919	1.676333	
1918	1.884	
1917	2.242	
1916	1.7975	
1915	2.004	
1914	1.66	
1913	1.617	
1912	1.607	
1911	1.4685	
1910	1.4555	
1909	1.503552	
1908	1.75876	
1907	1.766096	
1906	2.263528	
1905	2.109411	
1904	1.965287	
1903	1.955981	
1902	2.088471	
1901	2.147189	
1900	1.840627	
1899	2.190618	
1898	2.396055	
1897	2.318413	
1896	2.126	
1895	2.385191	
1894	2.388549	
1893	2.183938	
1892	2.119416	
1891	2.245714	
1890	2.22094	
1889	2.260752	
1888	2.215411	
1887	2.177951	
1886	2.263803	
1885	2.151126	
1884	2.170313	
1883	2.20122	
1882	2.071742	
1881	2.130816	
1880	2.069692	
1879	2.26429	
1878	2.031077	
1877	2.247647	
1876	2.266307	
1875	2.230643	
1874	2.188664	
1873	2.377095	
1872	2.439157	
1871	2.103354	
1870	2.123461	
1869	1.937612	
1868	2.171451	
1867	2.296665	
1866	2.267305	
1865	2.035	
1864	2.178391	
1863	2.237442	
1862	2.291638	
1861	2.189428	
1860	2.340731	
1859	2.23351	
1858	2.221105	
1857	2.276923	
1856	2.319213	
1855	2.283031	
1854	2.370749	
1853	2.409357	
1852	2.060496	
1851	2.17833	
1850	2.25	
1849	2.189626	
1848	2.166442	
1847	2.213963	
1846	2.286556	
1845	2.29	
1844	2.39	
1843	2.25	
1842	2.3425	
1841	2.36	
1840	2.442063	
1839	2.31	
1838	2.42	
1837	2.44	
1836	2.41	
1835	2.503779	
1834	2.189959	
1833	2.199511	
1832	2.23843	
1831	2.394524	
1830	2.41	
1829	2.52	
1828	2.42	
1827	2.407994	
1826	2.231741	
1825	2.24	
1824	2.056934	
1823	2.080738	
1822	1.597376	
1821	1.859332	
1820	2.216	
1819	2.0915	
1818	2.083	
1817	1.968	
1816	2.04	
1815	2.032	
1814	2.075	
1813	2.097	
1812	2.153	
1811	2.245	
1810	2.223	
1809	2.082	
1808	2.031	
1807	2.126	
1806	2.017	
1805	2.004	
1804	2.203	
1803	1.976	
1802	2.182	
1801	2.222	
1800	2.11	
1799	1.948	
1798	1.685	
1797	1.743	
1796	1.731	
1795	1.817	
1794	1.683	
1793	1.699	
1792	1.555892	
1791	1.561847	
1790	1.731638	
1789	1.710441	
1788	2.014596	
1787	2.109	
1786	2.163287	
1785	2.15056	
1784	2.062	
1783	2.095	
1782	2.25	
1781	2.43	
1780	2.472	
1779	2.056	
1778	1.768	
1777	1.912	
1776	1.832	
1775	1.823	
1774	1.873	
1773	2.041	
1772	2.216	
1771	2.268	
1770	2.607	
1769	2.618	
1768	2.006924	
1767	2.176679	
1766	2.956	
1765	2.327059	
1764	2.180163	
1763	2.211288	
1762	2.020135	
1761	2.34336	
1760	2.100059	
1759	2.166705	
